Policy,Category,Indicator,Unit,rank,score
E3_Fiscal measures,Demographics,Urban population (% of total population),total,2,0.017358266571314247
E3_Fiscal measures,Social issues ,Proportion of women in managerial positions (%),percent,3,0.016070643612998186
E3_Fiscal measures,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),4,0.015341804799855615
E3_Fiscal measures,Governance,Control of corruption estimate,score,5,0.015186903138892663
E3_Fiscal measures,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,6,0.014898119202725728
E3_Fiscal measures,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,7,0.014774528548050038
E3_Fiscal measures,Health,Prevalence of Hypertensive heart disease,percent,8,0.014742337702379395
E3_Fiscal measures,Health,Prevalence of down syndrome,percent,9,0.014252324415471028
E3_Fiscal measures,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,10,0.014239056961216362
E3_Fiscal measures,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",11,0.014225611814888257
E3_Fiscal measures,Demographics,Refugee population by country or territory of asylum,proportion,12,0.013873261532816776
E3_Fiscal measures,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,13,0.01360929759122508
E3_Fiscal measures,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",14,0.01340212461599304
E3_Fiscal measures,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,15,0.013275746587060412
E3_Fiscal measures,Demographics,Rural population (% of total population),proportion,16,0.01303011729824281
E3_Fiscal measures,Environment,Electricity production from nuclear sources ,percent of total,17,0.012942502576455201
E3_Fiscal measures,Economics,"Trade, total as % of GDP",percent,18,0.01287667150621197
E3_Fiscal measures,Health,Prevalence of Diabetes,percent,19,0.012774300551415249
E3_Fiscal measures,Economics,Volume of exports,percent change,20,0.012679265938106447
E3_Fiscal measures,Economics,"Foreign direct investment, net",US Dollar,21,0.012677013836943621
E3_Fiscal measures,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,22,0.012559035651334401
E3_Fiscal measures,Health,Prevalence of obesity,percent,23,0.012222201726641204
E3_Fiscal measures,Environment,Electricity production from coal sources ,percent of total,24,0.012207065506347202
E3_Fiscal measures,Health,"Physicians (per 1,000 people)",Ones,25,0.012195898216504611
E3_Fiscal measures,Health,Prevalence of total cancers,percent,26,0.012021569687372809
E3_Fiscal measures,Environment,Renewable energy consumption ,percent of total final energy consumption,27,0.011997397390716898
E3_Fiscal measures,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",28,0.011972853480861849
E3_Fiscal measures,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,29,0.011950301920194435
E3_Fiscal measures,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,30,0.011924129683099688
E3_Fiscal measures,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,31,0.011879310564218674
E3_Fiscal measures,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,32,0.011753316276012704
E3_Fiscal measures,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,33,0.011678302656318968
E3_Fiscal measures,Social issues ,Gini index (World Bank estimate),index ,34,0.011606629248158952
E3_Fiscal measures,Demographics,Age dependency ratio (% of working-age population),proportion,35,0.011322058383957069
E3_Fiscal measures,Social issues ,Press freedom score,score,36,0.011151602669013355
E3_Fiscal measures,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,37,0.01109533141048682
E3_Fiscal measures,Health,Prevalence of anxiety disorders,percent,38,0.011053817478715902
E3_Fiscal measures,Environment,CO2 emissions (kt),kt,39,0.01094011047513497
E3_Fiscal measures,Social issues ,Coverage of social safety net programs (% of population),proportion,40,0.010936982572699898
E3_Fiscal measures,Demographics,Mobile cellular subscriptions,number,41,0.010574868246296104
E3_Fiscal measures,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,42,0.010425331101216028
E3_Fiscal measures,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,43,0.010389018546146184
E3_Fiscal measures,Economics,"Lending interest rates, percent per annum",percent per annum,44,0.010291909791679297
E3_Fiscal measures,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,45,0.010260562151341383
E3_Fiscal measures,Economics,Expenditure on social protection (% of GDP),percent,46,0.010149286629720523
E3_Fiscal measures,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,47,0.010106583640707722
E3_Fiscal measures,Demographics,"Net migration rate, per 1000 population",per thousand persons,48,0.010068333347503474
E3_Fiscal measures,Demographics,People using at least basic sanitation services (% of population),proportion,49,0.010046520079391712
E3_Fiscal measures,Economics,Volume of imports,percent change,50,0.009947804288369019
E3_Fiscal measures,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,51,0.009889198155740665
E3_Fiscal measures,Demographics,"Population, total",total,52,0.009858674384931114
E3_Fiscal measures,Demographics,Secure Internet servers ,per 1 million people,53,0.009757165110348728
E3_Fiscal measures,Health,Prevalence of chronic kidney disease,percent,54,0.009717401806446152
E3_Fiscal measures,Health,Prevalence of Respiratory infections and tuberculosis,percent,55,0.009651539594772012
E3_Fiscal measures,Economics,"Central government debt, total",percent of GDP,56,0.009648980353802366
E3_Fiscal measures,Demographics,People using safely managed drinking water services (% of population),proportion,57,0.00949073334581308
E3_Fiscal measures,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",58,0.00942679772492781
E3_Fiscal measures,Demographics,Mobile cellular (per 100 people),per 100 population,59,0.009187614523591918
E3_Fiscal measures,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,60,0.009110434772840494
E3_Fiscal measures,Demographics,Internet users (per 100 people),per 100 population,61,0.009023502938512467
E3_Fiscal measures,Demographics,Individuals using the Internet,percent of population,62,0.008897170210193605
E3_Fiscal measures,Social issues ,Net migration,net total / data are 5 year estimates,63,0.008867119729524755
E3_Fiscal measures,Demographics,Fixed telephone subscriptions,number,64,0.008803709784376751
E3_Fiscal measures,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,65,0.008800053979190585
E3_Fiscal measures,Social issues ,Progression to secondary school (%),proportion,66,0.008672681321050861
E3_Fiscal measures,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,67,0.008557017153748658
E3_Fiscal measures,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,68,0.008527223023914359
E3_Fiscal measures,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,69,0.00852577349751996
E3_Fiscal measures,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,70,0.008488331519965272
E3_Fiscal measures,Demographics,Fixed telephone (per 100 people),per 100 population,71,0.008433752205672294
E3_Fiscal measures,Demographics,Fixed broadband subscriptions,number,72,0.00834848809128894
E3_Fiscal measures,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,73,0.008255138222331614
E3_Fiscal measures,Economics,Expenditure on education (% of GDP),percent,74,0.008146012146489882
E3_Fiscal measures,Health,Prevalence of Depressive disorders,percent,75,0.007993554130493354
E3_Fiscal measures,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,76,0.007830796502131497
E3_Fiscal measures,Economics,Unemployment rate (%) - Annual,percent,77,0.007675501904137284
E3_Fiscal measures,Environment,CO2 emissions (metric tons per capita),metric tons per capita,78,0.007611315522618665
E3_Fiscal measures,Environment,Combustible renewables and waste,percent of total energy,79,0.007526898145543542
E3_Fiscal measures,Environment,Electric power consumption ,kWh per capita,80,0.0074871634941093635
E3_Fiscal measures,Economics,Stock market capitalization (US$ million),percent,81,0.00732973316943241
E3_Fiscal measures,Economics,Stock market capitalization (US$ million),US Dollar,82,0.007161078796008485
E3_Fiscal measures,Environment,Electricity production from oil sources,percent of total,83,0.007107422037024628
E3_Fiscal measures,Environment,"Electricity production from oil, gas and coal sources",percent of total,84,0.0070662151790535175
E3_Fiscal measures,Environment,"Energy imports, net ",percent of energy use,85,0.0067569921375046915
E3_Fiscal measures,Economics,Starting a Business (Score),Score,86,0.006606380595791266
E3_Fiscal measures,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,87,0.00634805116650153
E3_Fiscal measures,Environment,Fossil fuel energy consumption,percent of total,88,0.006066013967735158
E3_Fiscal measures,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,89,0.005933759847070026
E3_Fiscal measures,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",90,0.0056032229550907866
E3_Fiscal measures,Governance,Corruption Perceptions Index,score,91,0.005537599005809958
E3_Fiscal measures,Governance,Economic Freedom Score (Index),score,92,0.004835266385586571
E3_Fiscal measures,Governance,Human Development Index,index,93,0.004829416706846339
E3_Fiscal measures,Economics,"International tourism, receipts",US Dollar,94,0.004337817271445635
E3_Fiscal measures,Economics,Growth rates of household expenditure or income per capita (%),percent,95,0.004081667506045175
E3_Fiscal measures,Health,Hospital beds (per 10 000 population),Ones,96,0.00400185886302132
E3_Fiscal measures,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,97,0.003945301894845105
E3_Fiscal measures,Health,"Immunization, measles (% of children ages 12-23 months)",percent,98,0.003713308354461694
E3_Fiscal measures,Economics,Expenditure on health (% of GDP),percent,99,0.0032442074194553314
E3_Fiscal measures,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",100,0.002934572439621362
E3_Fiscal measures,Health,"Nurses and midwives (per 1,000 people)",Ones,101,0.002646205298442929
E3_Fiscal measures,Environment,Access to electricity ,percent of population,102,0.002294769677386775
E3_Fiscal measures,Demographics,Age dependency ratio,percent of total population,103,0.0
E4_International support,Governance,Serious assault (rate),rate,1,0.017742080166788094
E4_International support,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,2,0.016477268625862056
E4_International support,Social issues ,Proportion of women in managerial positions (%),percent,3,0.016411597335579294
E4_International support,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),4,0.01565255319275039
E4_International support,Health,Prevalence of anxiety disorders,percent,5,0.015576169320535575
E4_International support,Demographics,People using at least basic sanitation services (% of population),proportion,6,0.015165559496215442
E4_International support,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,7,0.014886336471987184
E4_International support,Health,Prevalence of Hypertensive heart disease,percent,8,0.013724375165929368
E4_International support,Demographics,Rural population (% of total population),proportion,9,0.013688325611224336
E4_International support,Environment,CO2 emissions (kt),kt,10,0.013501327808854574
E4_International support,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",11,0.013313670141055625
E4_International support,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,12,0.013304773441270804
E4_International support,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",13,0.013248975415843382
E4_International support,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,14,0.013214562424884092
E4_International support,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",15,0.013194806027396198
E4_International support,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,16,0.013084582438005478
E4_International support,Demographics,Fixed broadband subscriptions,number,17,0.013003623190169275
E4_International support,Social issues ,Progression to secondary school (%),proportion,18,0.01294348315181971
E4_International support,Health,Prevalence of obesity,percent,19,0.012917016734501704
E4_International support,Demographics,Mobile cellular subscriptions,number,20,0.012611803789875895
E4_International support,Environment,Electric power consumption ,kWh per capita,21,0.01245413546701628
E4_International support,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,22,0.012444363025968621
E4_International support,Environment,Electricity production from coal sources ,percent of total,23,0.012331693723573772
E4_International support,Environment,CO2 emissions (metric tons per capita),metric tons per capita,24,0.01225206141514848
E4_International support,Health,Prevalence of Depressive disorders,percent,25,0.01225098071228506
E4_International support,Demographics,Secure Internet servers ,per 1 million people,26,0.012181436152213745
E4_International support,Demographics,"Population, total",total,27,0.012112836422544735
E4_International support,Demographics,Age dependency ratio,percent of total population,28,0.01200806038097003
E4_International support,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",29,0.011972522075372099
E4_International support,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,30,0.011515240802459626
E4_International support,Economics,"Lending interest rates, percent per annum",percent per annum,31,0.011389506915311922
E4_International support,Health,Prevalence of Respiratory infections and tuberculosis,percent,32,0.011240486564443637
E4_International support,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,33,0.011138370129267649
E4_International support,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,34,0.010996341106256033
E4_International support,Demographics,"Net migration rate, per 1000 population",per thousand persons,35,0.010956145398661939
E4_International support,Health,Prevalence of down syndrome,percent,36,0.01087107530646901
E4_International support,Health,Prevalence of chronic kidney disease,percent,37,0.010813858912061984
E4_International support,Demographics,People using safely managed drinking water services (% of population),proportion,38,0.010675812166657497
E4_International support,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,39,0.010667314355327473
E4_International support,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,40,0.010634686661457862
E4_International support,Demographics,Mobile cellular (per 100 people),per 100 population,41,0.010588466470183225
E4_International support,Health,Prevalence of Diabetes,percent,42,0.010377361399390772
E4_International support,Demographics,Refugee population by country or territory of asylum,proportion,43,0.010314625302370302
E4_International support,Health,"Physicians (per 1,000 people)",Ones,44,0.010198922918497647
E4_International support,Health,"Nurses and midwives (per 1,000 people)",Ones,45,0.0101223823423791
E4_International support,Demographics,Urban population (% of total population),total,46,0.010034684089102585
E4_International support,Health,Prevalence of total cancers,percent,47,0.00999178289850293
E4_International support,Social issues ,Coverage of social safety net programs (% of population),proportion,48,0.009932516714755445
E4_International support,Health,"Immunization, measles (% of children ages 12-23 months)",percent,49,0.00990729961049916
E4_International support,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,50,0.009896067414649018
E4_International support,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,51,0.009859156697336878
E4_International support,Demographics,Fixed telephone (per 100 people),per 100 population,52,0.0098199360519737
E4_International support,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,53,0.009736160472907868
E4_International support,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,54,0.00959863588235624
E4_International support,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,55,0.009538897554039113
E4_International support,Demographics,Fixed telephone subscriptions,number,56,0.009466559671274655
E4_International support,Social issues ,Press freedom score,score,57,0.009429153566370679
E4_International support,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,58,0.009370107256008016
E4_International support,Social issues ,Net migration,net total / data are 5 year estimates,59,0.009352439216533835
E4_International support,Demographics,Individuals using the Internet,percent of population,60,0.009233665405602573
E4_International support,Demographics,Internet users (per 100 people),per 100 population,61,0.009187047484420313
E4_International support,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",62,0.009044001647167501
E4_International support,Social issues ,Gini index (World Bank estimate),index ,63,0.00903077736052408
E4_International support,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,64,0.008928841649905084
E4_International support,Economics,"Central government debt, total",percent of GDP,65,0.008919787086675401
E4_International support,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,66,0.00881698046140658
E4_International support,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,67,0.00869554173477525
E4_International support,Environment,Electricity production from oil sources,percent of total,68,0.00862036580418713
E4_International support,Economics,Growth rates of household expenditure or income per capita (%),percent,69,0.00849094302880226
E4_International support,Economics,"International tourism, receipts",US Dollar,70,0.008488171818344485
E4_International support,Environment,Combustible renewables and waste,percent of total energy,71,0.008354833171633859
E4_International support,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,72,0.00827236718580838
E4_International support,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,73,0.008124701148980737
E4_International support,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,74,0.007987895703030252
E4_International support,Environment,Access to electricity ,percent of population,75,0.0079152094618174
E4_International support,Economics,Volume of imports,percent change,76,0.007860485717652287
E4_International support,Economics,Volume of exports,percent change,77,0.007780582648850817
E4_International support,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,78,0.007772996394423441
E4_International support,Economics,Unemployment rate (%) - Annual,percent,79,0.007706791005712213
E4_International support,Economics,"Trade, total as % of GDP",percent,80,0.007566950778524622
E4_International support,Economics,Stock market capitalization (US$ million),percent,81,0.0070916363636307845
E4_International support,Economics,Stock market capitalization (US$ million),US Dollar,82,0.006614210502298901
E4_International support,Economics,Starting a Business (Score),Score,83,0.006554953733391541
E4_International support,Environment,Electricity production from nuclear sources ,percent of total,84,0.0065444095738291545
E4_International support,Environment,"Electricity production from oil, gas and coal sources",percent of total,85,0.006440881199109878
E4_International support,Health,Hospital beds (per 10 000 population),Ones,86,0.006440627291501023
E4_International support,Economics,"Foreign direct investment, net",US Dollar,87,0.006413890940501151
E4_International support,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,88,0.006349296399218518
E4_International support,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",89,0.006117760557205943
E4_International support,Economics,Expenditure on education (% of GDP),percent,90,0.005753788305788892
E4_International support,Governance,Human Development Index,index,91,0.005740568434281033
E4_International support,Governance,Economic Freedom Score (Index),score,92,0.0057339763863131325
E4_International support,Governance,Corruption Perceptions Index,score,93,0.005658013418462726
E4_International support,Governance,Control of corruption estimate,score,94,0.0055625312639218626
E4_International support,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,95,0.005288107491751791
E4_International support,Environment,Renewable energy consumption ,percent of total final energy consumption,96,0.005218578699758261
E4_International support,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,97,0.004930431457307408
E4_International support,Economics,Expenditure on health (% of GDP),percent,98,0.004760799605744944
E4_International support,Environment,Fossil fuel energy consumption,percent of total,99,0.00461472241126534
E4_International support,Demographics,Age dependency ratio (% of working-age population),proportion,100,0.004114441338114073
E4_International support,Economics,Expenditure on social protection (% of GDP),percent,101,0.002996051518401537
E4_International support,Environment,"Energy imports, net ",percent of energy use,102,0.002156413236810766
E4_International support,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,103,0.0
H1_Public information campaigns,Governance,Serious assault (rate),rate,1,0.022152984257219607
H1_Public information campaigns,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,2,0.01895167591138189
H1_Public information campaigns,Social issues ,Proportion of women in managerial positions (%),percent,3,0.018864351470370435
H1_Public information campaigns,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",4,0.01790913351277874
H1_Public information campaigns,Economics,Expenditure on education (% of GDP),percent,5,0.01760254819010446
H1_Public information campaigns,Demographics,Urban population (% of total population),total,6,0.01733048014654983
H1_Public information campaigns,Environment,"PM2.5 air pollution, mean annual exposure",micrograms per cubic meter,7,0.016740023999934343
H1_Public information campaigns,Health,Prevalence of Hypertensive heart disease,percent,8,0.016708090873936283
H1_Public information campaigns,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,9,0.015969942649668604
H1_Public information campaigns,Health,"Incidence of tuberculosis (per 100,000 people)",Cases,10,0.015690408392685366
H1_Public information campaigns,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,11,0.014052103902139509
H1_Public information campaigns,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),percent,12,0.013909033501628186
H1_Public information campaigns,Social issues ,Press freedom score,score,13,0.013725861383012515
H1_Public information campaigns,Demographics,Rural population (% of total population),proportion,14,0.013695754370041781
H1_Public information campaigns,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,15,0.013659595648271461
H1_Public information campaigns,Health,Prevalence of chronic kidney disease,percent,16,0.013569109930008533
H1_Public information campaigns,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,17,0.01348800653188959
H1_Public information campaigns,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,18,0.013461307390038117
H1_Public information campaigns,Health,Prevalence of anxiety disorders,percent,19,0.013164660900354466
H1_Public information campaigns,Social issues ,Progression to secondary school (%),proportion,20,0.01305563885889509
H1_Public information campaigns,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,21,0.01272127071789794
H1_Public information campaigns,Social issues ,"Intentional homicides (per 100,000 people)","proportion, pero 100,000 people",22,0.012720226777197518
H1_Public information campaigns,Demographics,Individuals using the Internet,percent of population,23,0.012553093348680391
H1_Public information campaigns,Social issues ,Gini index (World Bank estimate),index ,24,0.012450265952463409
H1_Public information campaigns,Economics,"Lending interest rates, percent per annum",percent per annum,25,0.012290643161240074
H1_Public information campaigns,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",Percentage of females of the total population,26,0.01218380021761422
H1_Public information campaigns,Demographics,Mobile cellular (per 100 people),per 100 population,27,0.012152049193350086
H1_Public information campaigns,Environment,"Electricity production from oil, gas and coal sources",percent of total,28,0.012101497498383141
H1_Public information campaigns,Environment,Combustible renewables and waste,percent of total energy,29,0.01202932431043269
H1_Public information campaigns,Environment,"Energy imports, net ",percent of energy use,30,0.012025865702147477
H1_Public information campaigns,Demographics,"Population, total",total,31,0.011922971752157365
H1_Public information campaigns,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),32,0.011664315900085247
H1_Public information campaigns,Health,Prevalence of down syndrome,percent,33,0.011532319320962773
H1_Public information campaigns,Governance,Control of corruption estimate,score,34,0.011521282980346936
H1_Public information campaigns,Social issues ,"Primary completion rate, total (% of relevant age group)",proportion,35,0.011506237355113677
H1_Public information campaigns,Governance,Economic Freedom Score (Index),score,36,0.011485786863056615
H1_Public information campaigns,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,37,0.01140687323058543
H1_Public information campaigns,Social issues ,Net migration,net total / data are 5 year estimates,38,0.01139994546772565
H1_Public information campaigns,Economics,"Foreign direct investment, net",US Dollar,39,0.011377821548895623
H1_Public information campaigns,Health,Mortality due to COVID-19,"Number (cumulative total by Dec 26,2020)",40,0.011159218595071697
H1_Public information campaigns,Health,"Immunization, measles (% of children ages 12-23 months)",percent,41,0.011112506769073018
H1_Public information campaigns,Health,"Physicians (per 1,000 people)",Ones,42,0.01106167226006834
H1_Public information campaigns,Health,Hospital beds (per 10 000 population),Ones,43,0.010766550092226665
H1_Public information campaigns,Health,"Nurses and midwives (per 1,000 people)",Ones,44,0.010746604912430619
H1_Public information campaigns,Health,Prevalence of total cancers,percent,45,0.010622161544877409
H1_Public information campaigns,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",46,0.010572860358395601
H1_Public information campaigns,Health,Prevalence of Depressive disorders,percent,47,0.01056172333866615
H1_Public information campaigns,Health,Prevalence of Diabetes,percent,48,0.010324293540461965
H1_Public information campaigns,Health,Prevalence of Respiratory infections and tuberculosis,percent,49,0.010029930031075997
H1_Public information campaigns,Health,Prevalence of obesity,percent,50,0.009957820422493215
H1_Public information campaigns,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,51,0.009896654790249646
H1_Public information campaigns,Social issues ,Coverage of social safety net programs (% of population),proportion,52,0.009834926903453684
H1_Public information campaigns,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,53,0.0096356878956885
H1_Public information campaigns,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,54,0.009632180742270183
H1_Public information campaigns,Social issues ,"Intentional homicides (per 100,000 people)","proportion, per 100,000 people",55,0.009603422450202521
H1_Public information campaigns,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,56,0.009572687930212945
H1_Public information campaigns,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,57,0.00933915710644291
H1_Public information campaigns,Social issues ,Proportion of population pushed below the $1.90 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure (%),proportion,58,0.009236190394566749
H1_Public information campaigns,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,59,0.009061991532681559
H1_Public information campaigns,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,60,0.008939620809829919
H1_Public information campaigns,Health,COVID-19 vaccine administered,"Number (cumulative total by Dec 26,2020)",61,0.008826483049903714
H1_Public information campaigns,Demographics,Age dependency ratio,percent of total population,62,0.008812708155659665
H1_Public information campaigns,Governance,Human Development Index,index,63,0.008673673868595804
H1_Public information campaigns,Economics,Starting a Business (Score),Score,64,0.008502730785320553
H1_Public information campaigns,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,65,0.008328935807135372
H1_Public information campaigns,Economics,"International tourism, receipts",US Dollar,66,0.008280704711913512
H1_Public information campaigns,Economics,Growth rates of household expenditure or income per capita (%),percent,67,0.008117398494094636
H1_Public information campaigns,Economics,Expenditure on social protection (% of GDP),percent,68,0.008039352728217403
H1_Public information campaigns,Economics,Expenditure on health (% of GDP),percent,69,0.007902336201920478
H1_Public information campaigns,Economics,"Central government debt, total",percent of GDP,70,0.007833193432393611
H1_Public information campaigns,Demographics,Secure Internet servers ,per 1 million people,71,0.00767515451899649
H1_Public information campaigns,Demographics,Refugee population by country or territory of asylum,proportion,72,0.007473619087826757
H1_Public information campaigns,Demographics,People using safely managed drinking water services (% of population),proportion,73,0.007465203904708324
H1_Public information campaigns,Demographics,People using at least basic sanitation services (% of population),proportion,74,0.007396206943534339
H1_Public information campaigns,Demographics,"Net migration rate, per 1000 population",per thousand persons,75,0.007122989085780011
H1_Public information campaigns,Demographics,Mobile cellular subscriptions,number,76,0.006910877170090607
H1_Public information campaigns,Demographics,Internet users (per 100 people),per 100 population,77,0.006685923304323671
H1_Public information campaigns,Demographics,Fixed telephone subscriptions,number,78,0.006553354208401095
H1_Public information campaigns,Demographics,Fixed telephone (per 100 people),per 100 population,79,0.006433614244752979
H1_Public information campaigns,Demographics,Fixed broadband subscriptions,number,80,0.006414801671470327
H1_Public information campaigns,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,81,0.006233174648076091
H1_Public information campaigns,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,82,0.005751002532563915
H1_Public information campaigns,Economics,Stock market capitalization (US$ million),US Dollar,83,0.005681585172108192
H1_Public information campaigns,Governance,Corruption Perceptions Index,score,84,0.0055748010494960035
H1_Public information campaigns,Economics,Stock market capitalization (US$ million),percent,85,0.005449117239891282
H1_Public information campaigns,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,86,0.0053099651421882445
H1_Public information campaigns,Environment,Renewable energy consumption ,percent of total final energy consumption,87,0.0050234897592976785
H1_Public information campaigns,Environment,Fossil fuel energy consumption,percent of total,88,0.004944546528100024
H1_Public information campaigns,Demographics,Age dependency ratio (% of working-age population),proportion,89,0.004776901711138703
H1_Public information campaigns,Environment,"Electricity production from renewable sources, excluding hydroelectric",kWh,90,0.004248263646195528
H1_Public information campaigns,Environment,Electricity production from oil sources,percent of total,91,0.004216413449529003
H1_Public information campaigns,Environment,Electricity production from nuclear sources ,percent of total,92,0.0041816330985500385
